source_path,source,original_split,split,raw_label,label,label_index,sha256,width,height,channels,image_format,status,reason,canonical_path
K:\人脸数据集\2013\test\angry\PrivateTest_19160467.jpg,2013,test,test,angry,angry,0,6c088ca63615372b08434dfcbbfe6d503ec4c9326118053b446942a6e7e642fc,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_19212977.jpg,2013,test,test,angry,angry,0,3b1d136506b1543044aef8806f4700d279ee2b741b94a1331ed7e0cbe82c52bd,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_19666123.jpg,2013,test,test,angry,angry,0,411d18781fccb89534a50a49c3a0630b2503cb53febfba9377a8795483a6a3b1,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_19777137.jpg,2013,test,test,angry,angry,0,9f4dd99032908a4fd746f98ead4f71051c99447827f7b2dd0852ce31f859668c,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_19839459.jpg,2013,test,test,angry,angry,0,f57ba10976364c1d75a80ae17498639ed6ed06a224ac76274181cf2a874cdfb9,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_19907331.jpg,2013,test,test,angry,angry,0,cc97c2071169e41e06bfdc5bc0f0368b64255bdccfc0ded6155edcd216624820,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20062601.jpg,2013,test,test,angry,angry,0,c08e4932e45914765b17ee5a2d0334074fabe66e5b329bedaa573a496f38b835,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20304950.jpg,2013,test,test,angry,angry,0,17e911160f73690c3096b8776b0ab225b0f0f807ad23f23557e9db590b88aa23,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20306434.jpg,2013,test,test,angry,angry,0,255ddc878e7c6bbaaf7a46aeaa19b0c84b3ddbee43f825aac3b01b19a6ffef15,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20431702.jpg,2013,test,test,angry,angry,0,d0e586fa220690207c5c97f325fc4acc1a8948ebe702bed08849d7a6ce6745ca,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20571365.jpg,2013,test,test,angry,angry,0,3c0ff80d9e5d65eff0f550adfb56eb4794b78ee787b4c61f0498815a26b86cf0,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20588149.jpg,2013,test,test,angry,angry,0,93906ffb9b96bbd39b81363d208564d9dcfd02de11458d88db2c734818b980f4,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20789399.jpg,2013,test,test,angry,angry,0,38afec8979af964940c713697d6fd067a384dd16be277294e84131a0bbc539ed,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20887918.jpg,2013,test,test,angry,angry,0,d8dc8b8396365b7c62b73d02b623266a82cf09b294741337d65b41b4bb7e5d83,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_20953901.jpg,2013,test,test,angry,angry,0,a5aa9853a6b24ac4e135aa2b7fbf20262590588d6048b82776f19f820e01de43,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_21042434.jpg,2013,test,test,angry,angry,0,b9912307642c0e011d5ee7f8cbf470aeb3f2e4c21db328d75f944ebe7ea2a40d,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_21230097.jpg,2013,test,test,angry,angry,0,aaacf578e1d3853dca596b95c3931099745eca228b5063083c190736d411df6b,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_21734875.jpg,2013,test,test,angry,angry,0,f2c14b9f17cc381a21a01451a7209e7f9986d20bececca496080934d7f71ea1d,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_22091765.jpg,2013,test,test,angry,angry,0,1789eeeaa6e1f1d8fd2bd1629d657bc770ee92bac71c7a142e227faa52320221,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_22126718.jpg,2013,test,test,angry,angry,0,f77e5accbb8f2221f0c33908220278d6544ba1fea713825f2261d0f7cfd15f72,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_22203098.jpg,2013,test,test,angry,angry,0,d2fe5abcdd033a42a47d2ba83dc2bd49d77848845924598484a53271e8ab3cb2,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_22419133.jpg,2013,test,test,angry,angry,0,44b303d3ee6af5e1f5517293ebb87219a5ec29db7478ff6b88c6c5ec3e2d9f9a,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_22793925.jpg,2013,test,test,angry,angry,0,40bc80fd32c70b143786d80e6b0d5e2dadd1d80a7302abcee139a333657c9442,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_22908984.jpg,2013,test,test,angry,angry,0,81450d7672f866c3489f5659704059228d09865501ed95c54ed43513bb6c8254,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_23120934.jpg,2013,test,test,angry,angry,0,960ca6d19133bcfd5cad63f2aa95b9a55dfcb36dcd9b6b0d3b8699f1e9dcf2d6,48,48,1,JPEG,included,directory,K:\人脸数据集\2013\test\angry\PrivateTest_23120934.jpg
K:\人脸数据集\2013\test\angry\PrivateTest_23190617.jpg,2013,test,test,angry,angry,0,9ab8266f1df53226171a610b03e762a25c4af5a1e18380522e22c081f5ff62e8,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_2328297.jpg,2013,test,test,angry,angry,0,fa33db4980a615385380dab7c89af0957587a0660c649e5ce9c5489e6155d8e5,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_23751697.jpg,2013,test,test,angry,angry,0,3c37ebec4f343f163a933a5cdcba9e7efcdd527f9bc14f38771165d72bb23a35,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_24139016.jpg,2013,test,test,angry,angry,0,c7e829fec2142dfc0568a48a53aa8db1c8f8657fe9e593e9b99b971a31e97de2,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_24550940.jpg,2013,test,test,angry,angry,0,32fe046d4c9a5570d843014a9d504a3199625ee5e1facaff2d870e4464009df3,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_24569157.jpg,2013,test,test,angry,angry,0,ec3acf95db1b3cb86e21046b8fee3567556eac1df17a421ff9a09554e139d0e7,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_24606826.jpg,2013,test,test,angry,angry,0,7129c26fda7aa4387264fbc8c38ffdba50b05edfa020d2e6a77fa33f1c046d80,48,48,1,JPEG,included,directory,K:\人脸数据集\2013\test\angry\PrivateTest_24606826.jpg
K:\人脸数据集\2013\test\angry\PrivateTest_24760870.jpg,2013,test,,angry,angry,0,45989fc80b1491c88c2dbe33a92605bf0a4fa822c286f9bd7a1999a6e6db1cb9,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\angry\PrivateTest_25146065.jpg,2013,test,test,angry,angry,0,74416c1398883045b6bf4b52ba70e5d4848be33c7a703b418d2838bb43f9883d,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_25332527.jpg,2013,test,test,angry,angry,0,c6654395363d97c6ed9bf05159d325f523d0981759dc312a5d5f84b0495188d2,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_25803660.jpg,2013,test,test,angry,angry,0,a9355791296c1dc40c6a25c075050c9e944401a8d92e81fa199ac08e9b511cbb,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_25922801.jpg,2013,test,test,angry,angry,0,860de7dcb879d73203c2b5f621330ee4731d064a24108205ddd1fe5ecc141ee0,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_25924075.jpg,2013,test,test,angry,angry,0,2d9c4159311df233a3c9ec88e839455ba606e4c89c7aaf5671489540ab2ed0bd,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_26149470.jpg,2013,test,test,angry,angry,0,3c83c5e70353ffb68282b4fe5379385703ae1627e75e6ea955269f78a0e7c0ae,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_2642370.jpg,2013,test,test,angry,angry,0,307af7c27ed5d2dd08e86ad963d40879721c31a665fe5539dbd0dc8448feae07,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_26530508.jpg,2013,test,test,angry,angry,0,41b79a9f08696497abe0a254f3f6a7e6e33d4c71e8315181f735659addf58651,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_26560060.jpg,2013,test,test,angry,angry,0,532d308df98d4ad3cc35a47afd538e23d4b7408cef2bd2d9a5fc6eeb3e86413e,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_26784100.jpg,2013,test,test,angry,angry,0,7c44e8eb12bfc2c4b64be66f8e4a32d4b33b559c4c3401788dc64039c0b63638,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_26910183.jpg,2013,test,test,angry,angry,0,1c6da730b6188bc1233a96ec1fa187b8afad79bd86dc4ff6145641b71b4557b2,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27063807.jpg,2013,test,test,angry,angry,0,9089f09465ed3a484ebc7639d68d73365cb00a1225620a6a8d16e38d4ef8f873,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27211238.jpg,2013,test,test,angry,angry,0,244b2c8525a8cf2510f62a5e5c9b036d8ca6debb96702c1c10c2327c530e7f00,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27212219.jpg,2013,test,test,angry,angry,0,d40cf7b0ee4d848f4efd01264c55fb4bee00ca51ef8c0212d4988ff6c78292c1,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27275324.jpg,2013,test,test,angry,angry,0,466d8e3c3708a8536f8efed36203ad522c73237e7f79c67d965843a015ba96cd,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27381014.jpg,2013,test,test,angry,angry,0,efe1ba877393606b4ee044e70860e747647e091e102d9c87d2c4731f6aebc766,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27425934.jpg,2013,test,test,angry,angry,0,2d7fbdf6e69e136f5f77775a8b43e55ca9e50e76a8e88451b0e69fe0bae2a49c,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27681985.jpg,2013,test,test,angry,angry,0,3a84d1498d5c48b9c86c120cf8909e38fdfe6e3cd8e7b2bff52eb35f40af670b,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27729759.jpg,2013,test,test,angry,angry,0,7a8c370beb66ba3e9614da7f4ee1d5bb31a54772862d2cd2c715e5dcc8d3f05a,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_2775163.jpg,2013,test,test,angry,angry,0,816a57eb136478b51ab2eb3ed46939713d710df5291c84a599fcacbc4945beaf,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_27811265.jpg,2013,test,test,angry,angry,0,192f65a35a53fe6ba68918d4fa1caface22cc52bdedb26ca974cbe9912748e09,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_28003761.jpg,2013,test,test,angry,angry,0,e64e4cde215a225df990e2ba6c32e22b85c6a37d7d2a729a28544e2b3c25b870,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_28291041.jpg,2013,test,test,angry,angry,0,2f7a834941a82cd42606cbe0c5231c2b5a4c5c60b263955deeedb1223580db31,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_28463343.jpg,2013,test,test,angry,angry,0,33e2e59990459d54e829ca309708e537ce2dc0aaa67d68aca03fa842ceaede12,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_28761796.jpg,2013,test,test,angry,angry,0,ae86fdff9f42cb50a81c7d73f28b5580064aa6b6b98f12d619daf558475f2ef2,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_2913776.jpg,2013,test,test,angry,angry,0,d855e34e06a2d0927dc970c07ee76efcbd63f662479b62692e056fb606e99e16,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_29273805.jpg,2013,test,test,angry,angry,0,2548cad0b62d029df2686813a129b391bcb6bbb1929ab4b785336782da6043f9,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_29624948.jpg,2013,test,test,angry,angry,0,ff61d4838c7841ab2ab5084134729b27ed1506b35dc4d21e6fd4362f3e6d20b0,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_29626348.jpg,2013,test,test,angry,angry,0,1632dc24d703b7d31a93b77593cdfea2850ecddc109ac4109ae1d5f3c6fddf28,48,48,1,JPEG,included,directory,K:\人脸数据集\2013\test\angry\PrivateTest_29626348.jpg
K:\人脸数据集\2013\test\angry\PrivateTest_29669680.jpg,2013,test,test,angry,angry,0,c49a862d13c21f8f8a828ac4025d1d2a0cd5d47cdf25636bde21afa9d9aa16b5,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_29755784.jpg,2013,test,test,angry,angry,0,d21141cfaa1d6aa4efa4584d093736ea208d0e69dbfcbe7d222a22aa3caeba2d,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_30069587.jpg,2013,test,test,angry,angry,0,72f25340f65ecabc23321cff0ad22ad8421b7d70ee38dca94e293b11e3097ec8,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_30620747.jpg,2013,test,test,angry,angry,0,140c12b70edd28b5306296aee4b98ce0a5573cca6c7fba77deb013f5078d2f6f,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_30802398.jpg,2013,test,test,angry,angry,0,8d6e9eabec547968bfd501938af28660b764e54c4b2065d6e6b664c8bc6d8665,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_30853783.jpg,2013,test,test,angry,angry,0,281106d171ec04850089d847c4969be15a85ade1a1797b2bc2808871be6a178f,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_31013095.jpg,2013,test,test,angry,angry,0,9e134f42cc871f04b7126c0cdb7b3516f0cb85be8cdf26c5a3a9aeb74ad0ccd5,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_31103368.jpg,2013,test,test,angry,angry,0,2c12049b84604117cf7dc4728f3365ebe493e146bfbd8b73d77b28c6fdf21257,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_31265438.jpg,2013,test,test,angry,angry,0,293200f47accfd0a1dbfb26a03d914e000b68e94eb1a1a3215afdd012f8993f9,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_31352702.jpg,2013,test,test,angry,angry,0,827bfb99e03c04a2912d4ad62d4ed16d3634dee3a6427541c42cbe27a23b6a2f,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_31554607.jpg,2013,test,test,angry,angry,0,e9f7ebdf30b9a0fd646ea48d72ded9bbf4b5ef73c896afee220612ae0b6d1b90,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_31560766.jpg,2013,test,test,angry,angry,0,4d5f9ed6707109a22879d708e37d5014ac728428b4adb8c3098ff3d5c01edc02,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_32282421.jpg,2013,test,test,angry,angry,0,216bdbcd5767ec1766ee03b664f254f4d8f18237dc7303a78a3205d0ccc29c9c,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_32298306.jpg,2013,test,test,angry,angry,0,fdfd73a508e206d6f7d8b2acf035b77023672c1ae43642999baa035d88829021,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_33031857.jpg,2013,test,test,angry,angry,0,459a852446c910f20e77921a81b07940f61865ecf34b66e720cec8eb03c79a5c,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_3309033.jpg,2013,test,test,angry,angry,0,6add1e8362b798dd80cee3ccf8b81a347e3dbfbe8bbde99997c0224ee5ccfb12,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_33237326.jpg,2013,test,test,angry,angry,0,46a5616a8b4aa09814f28f537c5c6f495058cf918ac324c1bd9743591cf159b6,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_33363783.jpg,2013,test,test,angry,angry,0,a496b55dce5d96188401f6025c721254bfb7d2aaf14ba05508b23d2f7e5b354b,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_33469617.jpg,2013,test,test,angry,angry,0,198239f26d542a3cab3973b524267d7697150b84c3dd2df63ddce2f4ccf4f109,48,48,1,JPEG,included,directory,
